,date,home_team,away_team,home_score,away_score,tournament
0,1872-11-30,Scotland,England,0,0,Friendly
1,1873-03-08,England,Scotland,4,2,Friendly
2,1874-03-07,Scotland,England,2,1,Friendly
3,1875-03-06,England,Scotland,2,2,Friendly
4,1876-03-04,Scotland,England,3,0,Friendly
5,1876-03-25,Scotland,Wales,4,0,Friendly
6,1877-03-03,England,Scotland,1,3,Friendly
7,1877-03-05,Wales,Scotland,0,2,Friendly
8,1878-03-02,Scotland,England,7,2,Friendly
9,1878-03-23,Scotland,Wales,9,0,Friendly
10,1879-01-18,England,Wales,2,1,Friendly
11,1879-04-05,England,Scotland,5,4,Friendly
12,1879-04-07,Wales,Scotland,0,3,Friendly
